#original latlon;corrected latlon
49.187420 16.615005;49.189101 16.614177
49.198716 16.598422;49.199258 16.596830
49.212358 16.597009;49.212774 16.600971
49.212036 16.596555;49.212974 16.596330
49.191157 16.613106;49.190580 16.611378
49.250950 16.586437;49.251096 16.587993
49.252066 16.582214;49.250549 16.581525
49.247289 16.583809;49.250070 16.584572
49.223209 16.595341;49.218113 16.597963
49.224135 16.581294;49.224838 16.582845
48.983113 14.478971;48.983277 14.477452
48.981613 14.474414;48.979832 14.474194
49.000941 14.450557;49.002295 14.451930
48.966692 14.472259;48.964197 14.471961
48.966133 14.482097;48.966107 14.479457
48.967345 14.462156;48.966138 14.460620
48.934112 14.481892;48.942648 14.479000
49.001804 14.537747;49.000415 14.540374
48.964674 14.296832;48.970836 14.272939
48.969826 14.271861;48.969673 14.272378
#Libušina třída - potraviny
49.194594 16.540010;49.198048 16.5478883
#Svážná - MHD
49.175479 16.552676;49.1761316 16.5540238
#Campus Bohunice
49.177071 16.570023;49.1772067 16.5675133
#Vzhledná 58 - park
49.175395 16.528197;49.176083 16.5269206
#Podlesí 20, Brno - Komín
49.226447 16.548768;49.219592 16.5427291
#Vychodilova 1
49.218425 16.573149;49.2196732 16.5726497
#Jírova - konečná MHD
49.208890 16.687815;49.2100258 16.6880016
