@ref	@lat	@lon
10003:218	50.0487432	14.4349539
10003:246	50.0620353	14.4357024
10003:256	50.0547832	14.4237647
10003:269	50.0300518	14.4571304
10003:270	50.0300518	14.4571304
10003:271	50.0300518	14.4571304
10003:278	50.0200175	14.4462181
10003:284	50.0442172	14.4505459
10003:295	50.0186456	14.4460122
10003:296	50.010579	14.4502466
10003:297	50.0088285	14.4549521
10003:299	50.0037228	14.4621445
10003:302	50.0066623	14.4518465
10003:303	50.0065665	14.4362737
10003:304	50.0062711	14.4250641
10003:305	50.00846680000001	14.4270706
10003:306	50.0100765	14.4069395
10003:32	50.055761	14.5575985
10003:324	50.0071179	14.4159498
10003:33	50.0267054	14.5117709
10003:339	50.0236686	14.4210468
10003:34	49.9688551	14.4291697
10003:359	50.04258859999999	14.4774291
10003:36	50.0713589	14.5560016
10003:362	50.057543	14.5025042
10003:368	50.03437940000001	14.4918669
10003:37	50.073111	14.554228
10003:374	50.036257	14.508483
10003:378	50.0236431	14.4882724
10003:38	50.074851	14.5622108
10003:382	50.02611109999999	14.5082679
10003:385	50.0246867	14.5122526
10003:394	50.0346076	14.5351531
10003:396	50.0277939	14.526923
10003:397	50.0317978	14.5136961
10003:398	50.0317978	14.5136961
10003:4	49.98674210000001	14.4472481
10003:409	50.04842	14.4680867
10003:446	50.0579849	14.5196833
10003:455	50.0456607	14.5579451
10003:458	50.0526364	14.5381199
10003:467	50.05664429999999	14.4657952
10003:468	50.0591222	14.4666493
10003:479	50.0724771	14.4432422
10003:490	50.0670507	14.4487214
10003:5	49.9727942	14.4320819
10003:52	50.0172094	14.6536457
10003:521	50.0576179	14.5048661
10003:536	50.0340303	14.5479982
10003:66	50.0807998	14.6225149
11007:101	50.0644544	14.4242733
11007:741	50.1024525	14.4362533
11007:745	50.108915	14.440073
11007:761	50.1178458	14.4058748
11007:762	50.117414	14.416879
11007:764	50.116778	14.433101
11007:96	50.0714999	14.415082
17704:107	50.1125025	14.3410792
17704:212	49.965798	14.062058
17704:216	49.91439399999999	13.9811343
17704:226	49.8997559	14.1916541
17704:254	49.9925797	14.0523788
17704:300	50.15871500000001	14.399157
17704:302	50.16054579999999	14.3882883
17704:308	50.157522	14.3950072
17704:312	50.2030886	14.2928494
17704:322	50.19095009999999	14.3722947
17704:325	50.1613602	14.3352493
17704:327	50.1810413	14.2638034
17704:328	50.161911	14.2586237
17704:329	50.1527626	14.2842527
17704:345	49.9917374	14.8593736
17704:371	50.0697571	14.2430272
17704:372	50.0607261	14.2269537
17704:374	50.0750798	14.255939
17704:376	50.0806276	14.2340441
17704:377	50.0873043	14.214824
17704:379	50.12122110000001	14.2591138
17704:385	50.1538483	14.2406386
17704:444	49.90993539999999	14.2261462
17704:516	49.88600539999999	14.2022924
17704:558	50.07047559999999	14.4071038
17704:603	50.0610258	14.4091392
17704:638	50.0516681	14.3507608
17704:658	50.0695551	14.3664664
17704:664	50.1004266	14.3850148
17704:666	50.0982599	14.372116
17704:667	50.0987952	14.3636977
17704:671	50.097047	14.354186
17704:672	50.0946085	14.3398308
17704:677	50.0990869	14.3471801
17704:683	50.0882538	14.3279507
17704:686	50.0671076	14.3110167
17704:687	50.06494230000001	14.3149295
17704:689	50.067215	14.3077521
17704:691	50.0675921	14.299067
17704:692	50.0689255	14.3046574
17704:694	50.0893867	14.3068103
17704:696	50.10179100000001	14.2631811
17704:698	50.099312	14.2865084
17704:699	50.10179100000001	14.2631811
17704:701	50.0946085	14.3398308
17704:702	50.092489	14.323009
17704:703	50.10356880000001	14.3749741
17704:704	50.10494809999999	14.3730027
17704:706	50.1066472	14.3781734
17704:709	50.1062519	14.3797118
17704:710	50.1149429	14.3839465
17704:713	50.1046682	14.3916595
17704:714	50.10060439999999	14.3918204
17704:720	50.1056659	14.3967313
